('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.22341783427202447, 94.64200091362)
('house_example2', 'learn2clean', 'HCA', 'SaleCondition', None, 'ZSB -> HCA', 'silhouette', 0.966, 24.94514298439026)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'IQR -> NB', 'accuracy', 0.6113294600136706, 4.4228270053863525)
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'DS -> LC -> ZSB -> LASSO', 'MSE', ({'quality_metric': 4361217091.731925}, 0.19020891189575195))
('house_example2', 'random', 'OLS', 'SalePrice', None, 'ZSB -> OLS', 'MSE', ({'quality_metric': 4135129829.0395145}, 0.17469406127929688))
('house_example2', 'random', 'MARS', 'SalePrice', None, 'DS -> ED -> MARS', 'MSE', ({'quality_metric': 0.1389822793663789}, 12.944109916687012))
('house_example2', 'no-prep', 'LASSO', 'SalePrice', None, 'LASSO', 'MSE', ({'quality_metric': 1368302034.8029606}, 0.37526988983154297))
('house_example2', 'no-prep', 'OLS', 'SalePrice', None, 'OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.037010908126831055))
('house_example2', 'no-prep', 'MARS', 'SalePrice', None, 'MARS', 'MSE', ({'quality_metric': 0.13182415272055714}, 7.7402660846710205))
('house_example2', 'no-prep', 'CART', 'SaleCondition', None, 'CART', 'accuracy', ({'quality_metric': 0.8828343454314362}, 126.0650360584259))
('house_example2', 'no-prep', 'LDA', 'SaleCondition', None, 'LDA', 'accuracy', ({'quality_metric': 0.8160351582855196}, 0.11335873603820801))
('house_example2', 'no-prep', 'NB', 'SaleCondition', None, 'NB', 'accuracy', ({'quality_metric': 0.10413783363931647}, 0.07743000984191895))
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.22341783427202447, 95.49635982513428)
